##,Player,GP,GS,Min,MinAvg,FG,FGA,FGPct,3FG,3FGA,3Pct,FT,FTA,FTPct,Off,Def,Tot,FoulAvg,PF,FO,A,TO,Blk,Stl,Pts,PtsAvg
21,"McCLELLAN, Eric",6,3,113,18.8,19,40,0.475,7,14,0.5,22,24,0.917,5,9,14,2.3,7,0,9,2,0,2,67,11.2
32,"GRAY, Steven",8,6,237,29.6,30,59,0.508,7,22,0.318,22,28,0.786,7,17,24,3,18,0,18,10,0,8,89,11.1
15,"BOULDIN, Matt",8,8,259,32.4,29,67,0.433,8,20,0.4,22,30,0.733,10,18,28,3.5,17,0,32,19,1,8,88,11
4,"MATHEWS, Jordan",3,3,85,28.3,10,21,0.476,5,10,0.5,7,8,0.875,0,8,8,2.7,5,0,3,1,0,3,32,10.7
22,"WESLEY, Byron",3,3,73,24.3,12,19,0.632,2,2,1,6,16,0.375,1,6,7,2.3,5,0,7,2,0,5,32,10.7
35,"DOWER, Sam",9,3,188,20.9,35,78,0.449,2,7,0.286,23,29,0.793,6,34,40,4.4,13,0,6,10,4,3,95,10.6
35,"VERRET, Paul",2,2,67,33.5,8,11,0.727,0,0,0,5,6,0.833,6,16,22,11,8,0,4,4,2,1,21,10.5
15,"HERNANDEZ, Alex",6,0,131,21.8,20,34,0.588,1,6,0.167,19,32,0.594,10,18,28,4.7,11,0,16,6,1,5,60,10
1,"GILDER, Admon",2,0,46,23,7,14,0.5,1,6,0.167,5,7,0.714,1,1,2,1,7,0,2,2,0,1,20,10
4,"WOOLRIDGE, Ryan",2,2,62,31,9,15,0.6,2,2,1,0,1,0,0,6,6,3,1,0,1,1,0,1,20,10
5,"BELL JR., Gary",10,10,319,31.9,36,75,0.48,14,33,0.424,13,21,0.619,2,24,26,2.6,24,0,18,11,1,6,99,9.9
24,"KINLOCH, Jon",10,6,265,26.5,25,56,0.446,13,29,0.448,32,37,0.865,12,26,38,3.8,23,1,12,16,12,8,95,9.5
2,"PARGO, Jeremy",8,6,198,24.8,28,52,0.538,4,16,0.25,15,22,0.682,3,15,18,2.3,19,0,23,17,0,5,75,9.4
21,"SACRE, Robert",7,7,158,22.6,20,47,0.426,0,0,0,23,30,0.767,14,18,32,4.6,17,1,3,13,11,4,63,9
2,"CARTER, Marquise",4,2,88,22,10,21,0.476,0,4,0,16,18,0.889,0,6,6,1.5,4,0,4,4,0,5,36,9
42,"HEYTVELT, Josh",6,2,130,21.7,20,39,0.513,3,7,0.429,11,15,0.733,5,18,23,3.8,11,0,3,6,5,5,54,9
21,"HACHIMURA, Rui",7,2,126,18,21,41,0.512,2,3,0.667,18,24,0.75,3,25,28,4,8,0,6,7,4,6,62,8.9
32,"GOURDE, Zach",11,8,226,20.5,35,57,0.614,0,1,0,21,30,0.7,11,23,34,3.1,28,2,9,17,9,6,91,8.3
14,"WINGER, Mike",4,3,82,20.5,15,26,0.577,1,1,1,2,5,0.4,1,1,2,0.5,6,0,12,6,0,2,33,8.3
13,"PERKINS, Josh",11,11,318,28.9,31,83,0.373,10,39,0.256,16,20,0.8,5,21,26,2.4,29,1,48,19,0,9,88,8
24,"KISPERT, Corey",9,6,240,26.7,23,63,0.365,9,34,0.265,15,17,0.882,6,23,29,3.2,13,0,13,7,3,2,70,7.8
0,"STRAWTHER, Julian",3,2,69,23,6,11,0.545,3,4,0.75,8,10,0.8,1,5,6,2,6,0,1,2,0,0,23,7.7
10,"DIXON, Kyle",6,6,208,34.7,13,43,0.302,2,12,0.167,17,19,0.895,2,13,15,2.5,12,0,40,22,0,3,45,7.5
31,"CHAMPION, Mike",1,1,22,22,3,9,0.333,0,1,0,1,1,1,1,2,3,3,3,0,1,1,2,0,7,7
32,"COLLINS, Zach",3,0,38,12.7,9,14,0.643,1,2,0.5,2,2,1,3,6,9,3,10,0,0,4,3,0,21,7
13,"OLYNYK, Kelly",6,2,88,14.7,15,28,0.536,2,4,0.5,9,11,0.818,6,21,27,4.5,11,0,5,6,4,2,41,6.8
3,"GOODSON, Demetri",6,4,129,21.5,15,24,0.625,1,2,0.5,9,16,0.563,2,10,12,2,12,0,14,8,0,3,40,6.7
25,"PENDERGRAFT, David",8,2,143,17.9,18,31,0.581,8,17,0.471,8,12,0.667,8,21,29,3.6,17,0,5,3,0,8,52,6.5
34,"EATON, Jeremy",4,3,89,22.3,5,16,0.313,0,0,0,15,23,0.652,4,15,19,4.8,10,1,1,8,2,3,25,6.3
34,"SNIDER, Scott",6,3,137,22.8,14,30,0.467,0,0,0,10,19,0.526,13,33,46,7.7,23,1,9,7,7,6,38,6.3
11,"STOCKTON, David",9,3,200,22.2,20,39,0.513,4,13,0.308,9,15,0.6,4,17,21,2.3,18,0,32,11,1,15,53,5.9
22,"WATSON, Anton",4,0,78,19.5,11,20,0.55,0,2,0,1,2,0.5,4,15,19,4.8,4,0,3,5,1,3,23,5.8
31,"KUSO, Abdullahi",4,3,71,17.8,10,16,0.625,0,0,0,3,9,0.333,6,16,22,5.5,17,3,2,6,6,0,23,5.8
